1||1||-12.207411|| -76.934485||
2||2||-12.196505|| -76.939892||
3||3||-12.181782|| -76.947124||
4||4||-12.169197|| -76.951233||
5||5||-12.161152|| -76.956941||
6||6||-12.156475|| -76.966554||
7||7||-12.150905|| -76.980008||
8||8||-12.142462|| -76.991477||
9||9||-12.134721|| -76.997313||
10||10||-12.127442|| -77.000489||
11||11||-12.110931|| -77.000253||
12||12||-12.100871|| -77.001701||
13||13||-12.087212|| -77.003740||
14||14||-12.075378|| -77.011465||
15||15||-12.065264|| -77.012795||
16||16||-12.054205|| -77.012773||
17||17||-12.045916|| -77.010284||
18||18||-12.041866|| -77.011529||
19||19||-12.027616|| -77.011529||
20||20||-12.018151|| -77.003504||
21||21||-12.006062|| -77.007259||
22||22||-11.997247|| -77.010327||
23||23||-11.984779|| -77.007345||
24||24||-11.974683|| -76.999920||
25||25||-11.968323|| -76.993590||
26||26||-11.959730|| -76.987933||
27||27||-12.135682|| -77.018683||
28||28||-12.113539|| -77.025984||
29||29||-12.096901|| -77.025104||
30||30||-12.059762|| -77.035823||
31||31||-11.981714|| -77.058733||
32||32||-11.981714|| -77.058733||
33||33||-11.989753|| -77.057188||
34||34||-12.006670|| -77.054141||
35||35||-12.011865|| -77.052843||
36||36||-12.029315|| -77.044325||
37||37||-12.045380|| -77.041385||
38||38||-12.057136|| -77.041845||
39||39||-12.059762|| -77.035823||
40||40||-12.089225|| -77.023567||
41||41||-12.096901|| -77.025104||
42||42||-12.113539|| -77.025984||
43||43||-12.135682|| -77.018683||
44||44||-12.135682|| -77.018683||
45||45||-12.125353|| -77.024146||
46||46||-12.113539|| -77.025984||
47||47||-12.102842|| -77.027397||
48||48||-12.096901|| -77.025104||
49||49||-12.089225|| -77.023567||
50||50||-12.081881|| -77.026871||
51||51||-12.059762|| -77.035823||
52||52||-12.057268|| -77.038287||
53||53||-12.011865|| -77.052843||
54||54||-11.998495|| -77.055260||
55||55||-11.989753|| -77.057188||
56||56||-11.981714|| -77.058733||
57||57||-12.135682|| -77.018683||
58||58||-12.113539|| -77.025984||
59||59||-12.096901|| -77.025104||
60||60||-12.089225|| -77.023567||
61||61||-12.059762|| -77.035823||
62||62||-12.029315|| -77.044325||
63||63||-12.011865|| -77.052843||
64||64||-12.006670|| -77.054141||
65||65||-11.981714|| -77.058733||
66||66||-12.179032|| -77.010025||
67||67||-12.172409|| -77.015844||
68||68||-12.168351|| -77.018826||
69||69||-12.160852|| -77.019256||
70||70||-12.152839|| -77.020050||
71||71||-12.148119|| -77.020232||
72||72||-12.141542|| -77.018086||
73||73||-12.113539|| -77.025984||
74||74||-12.096901|| -77.025104||
75||75||-12.089225|| -77.023567||
76||76||-12.059762|| -77.035823||
77||77||-12.057136|| -77.041845||
78||78||-12.051825|| -77.042279||
79||79||-12.045380|| -77.041385||
80||80||-12.029315|| -77.044325||
81||81||-12.011865|| -77.052843||
82||82||-11.981714|| -77.058733||

